per,tau1,2.5th%,97.5th%,tau2,2.5th%,97.5th%,phi1,2.5th%,97.5th%,phi2,2.5th%,97.5th%
0.01,3.97E-01,2.72E-01,5.23E-01,2.48E-01,1.75E-01,3.22E-01,6.60E-01,6.14E-01,7.05E-01,4.87E-01,4.69E-01,5.05E-01
0.02,3.97E-01,2.71E-01,5.23E-01,2.46E-01,1.73E-01,3.19E-01,6.62E-01,6.16E-01,7.07E-01,4.90E-01,4.72E-01,5.08E-01
0.022,3.97E-01,2.71E-01,5.22E-01,2.48E-01,1.74E-01,3.22E-01,6.62E-01,6.16E-01,7.08E-01,4.91E-01,4.73E-01,5.09E-01
0.025,3.95E-01,2.69E-01,5.21E-01,2.52E-01,1.78E-01,3.27E-01,6.66E-01,6.20E-01,7.11E-01,4.92E-01,4.74E-01,5.10E-01
0.029,3.96E-01,2.69E-01,5.22E-01,2.56E-01,1.80E-01,3.31E-01,6.67E-01,6.21E-01,7.13E-01,4.93E-01,4.75E-01,5.11E-01
0.03,3.97E-01,2.71E-01,5.24E-01,2.56E-01,1.80E-01,3.31E-01,6.68E-01,6.22E-01,7.14E-01,4.94E-01,4.76E-01,5.12E-01
0.032,3.96E-01,2.70E-01,5.23E-01,2.58E-01,1.82E-01,3.34E-01,6.69E-01,6.23E-01,7.16E-01,4.95E-01,4.77E-01,5.13E-01
0.035,3.94E-01,2.68E-01,5.20E-01,2.60E-01,1.84E-01,3.37E-01,6.73E-01,6.26E-01,7.19E-01,4.96E-01,4.78E-01,5.14E-01
0.036,3.93E-01,2.67E-01,5.19E-01,2.61E-01,1.85E-01,3.38E-01,6.72E-01,6.26E-01,7.19E-01,4.97E-01,4.79E-01,5.15E-01
0.04,3.95E-01,2.68E-01,5.22E-01,2.65E-01,1.87E-01,3.43E-01,6.78E-01,6.31E-01,7.25E-01,5.01E-01,4.82E-01,5.19E-01
0.042,3.97E-01,2.69E-01,5.24E-01,2.70E-01,1.91E-01,3.49E-01,6.80E-01,6.33E-01,7.27E-01,5.02E-01,4.83E-01,5.20E-01
0.044,4.00E-01,2.72E-01,5.28E-01,2.75E-01,1.95E-01,3.55E-01,6.80E-01,6.33E-01,7.27E-01,5.03E-01,4.85E-01,5.22E-01
0.045,3.99E-01,2.71E-01,5.27E-01,2.76E-01,1.96E-01,3.56E-01,6.81E-01,6.34E-01,7.27E-01,5.04E-01,4.85E-01,5.22E-01
0.046,4.00E-01,2.71E-01,5.28E-01,2.77E-01,1.97E-01,3.57E-01,6.82E-01,6.35E-01,7.29E-01,5.04E-01,4.86E-01,5.23E-01
0.048,3.99E-01,2.71E-01,5.27E-01,2.82E-01,2.00E-01,3.63E-01,6.84E-01,6.37E-01,7.32E-01,5.06E-01,4.87E-01,5.24E-01
0.05,4.00E-01,2.71E-01,5.28E-01,2.87E-01,2.05E-01,3.70E-01,6.86E-01,6.39E-01,7.34E-01,5.06E-01,4.88E-01,5.25E-01
0.055,4.10E-01,2.79E-01,5.41E-01,3.00E-01,2.14E-01,3.85E-01,6.94E-01,6.46E-01,7.42E-01,5.07E-01,4.89E-01,5.26E-01
0.06,4.16E-01,2.83E-01,5.49E-01,3.15E-01,2.26E-01,4.04E-01,6.98E-01,6.50E-01,7.46E-01,5.11E-01,4.92E-01,5.29E-01
0.065,4.17E-01,2.83E-01,5.50E-01,3.27E-01,2.35E-01,4.19E-01,7.00E-01,6.52E-01,7.48E-01,5.13E-01,4.94E-01,5.32E-01
0.067,4.19E-01,2.85E-01,5.54E-01,3.31E-01,2.39E-01,4.24E-01,7.00E-01,6.51E-01,7.48E-01,5.15E-01,4.96E-01,5.34E-01
0.07,4.20E-01,2.85E-01,5.54E-01,3.34E-01,2.41E-01,4.27E-01,7.00E-01,6.51E-01,7.48E-01,5.15E-01,4.96E-01,5.34E-01
0.075,4.19E-01,2.85E-01,5.54E-01,3.46E-01,2.50E-01,4.42E-01,6.96E-01,6.48E-01,7.45E-01,5.18E-01,4.99E-01,5.36E-01
0.08,4.26E-01,2.90E-01,5.62E-01,3.52E-01,2.55E-01,4.50E-01,6.97E-01,6.49E-01,7.45E-01,5.21E-01,5.02E-01,5.40E-01
